AC_NO,AC_NAME,is_contiguous,part_count,convex_hull_ratio,convex_hull_ratio_category,polsby_popper_score,polsby_popper_category,area_m2,perimeter_m,hull_area_m2
1,GOSSAIGAON,True,1,0.7089722836500992,High,0.15052477959323943,Very Low,383112591.82558376,178839.7874968774,540377389.4420141
2,DOTMA (ST),False,2,0.613588204855914,High,0.12068966090489729,Very Low,1111466950.8386657,340187.36183247936,1811421637.5780337
3,KOKRAJHAR (ST),True,1,0.7538143931777289,High,0.21247930961054518,Low,447762376.6613749,162731.04310111288,593995525.5746951
4,BAOKHUNGRI,True,1,0.4831842594730557,Moderate,0.05167382293867249,Very Low,498067453.52892643,348027.62463304924,1030802315.6054418
5,PARBATJHORA,True,1,0.59429517496175,Moderate,0.08584789142733519,Very Low,680505320.8303115,315613.7230840896,1145062839.9837003
6,GOLAKGANJ,False,2,0.44406936915907186,Moderate,0.04574465032010274,Very Low,272099882.7318077,273400.278894909,612741840.8684201
7,GAURIPUR,True,1,0.3245718694436726,Low,0.035858810320101894,Very Low,369588688.4314153,359887.14068620664,1138695996.867822
8,DHUBRI,True,1,0.6322724303472443,High,0.13653202525595845,Very Low,313231010.215468,169793.10150157177,495405137.37637013
9,BIRSING JARUA,True,1,0.5709912723391036,Moderate,0.10955597614295243,Very Low,653025256.3225973,273685.5604430288,1143669418.3563192
10,BILASIPARA,True,1,0.4957146799697267,Moderate,0.07502140737234951,Very Low,297972205.5507225,223408.76420226687,601096190.1893235
11,MANKACHAR,True,1,0.39803281270059904,Low,0.1111626018730897,Very Low,327725578.81474847,192477.84602434488,823363221.2157952
12,JALESHWAR,True,1,0.7690228179898204,High,0.22265406243667937,Low,542301283.8782206,174948.38453610893,705182305.637905
13,GOALPARA WEST (ST),True,1,0.519732817276693,Moderate,0.10470781550291197,Very Low,561539718.4608349,259600.5584769343,1080439217.6026185
14,GOALPARA EAST,True,1,0.44584296163233145,Moderate,0.0608510351249195,Very Low,318702411.75338846,256545.0396103424,714831093.4113375
15,DUDHNAI (ST),True,1,0.6753940431162685,High,0.1408612373126654,Very Low,550996301.7789406,221709.10282692776,815814571.3525149
16,ABHAYAPURI,True,1,0.5803450933182391,Moderate,0.06685000056863691,Very Low,390281266.278462,270858.87921286304,672498606.0396423
17,SRIJANGRAM,True,1,0.4509623952016697,Moderate,0.055196354455791026,Very Low,421285731.36552966,309697.79241371166,934192597.5382744
18,BONGAIGAON,True,1,0.6989123066135549,High,0.12121915748032873,Very Low,283248077.00415194,171357.36940713268,405269837.60892123
19,SIDLI CHIRANG (ST),True,1,0.6224226177625429,High,0.18553662712558666,Very Low,1465097355.49085,315009.2782151337,2353862654.8590355
20,BIJNI,True,1,0.7446522325352509,High,0.23696073212200663,Low,471263298.39175224,158087.87064793505,632863607.73711
21,BHOWANIPUR-SORBHOG,False,2,0.4822948329403713,Moderate,0.05891872747649644,Very Low,305650296.416871,255323.42610593443,633741594.4380648
22,MANDIA,False,2,0.7642236368950077,High,0.3112307923756576,Low,403370955.4300767,127619.18437920236,527817952.6989604
23,CHENGA,False,2,0.6761369404107733,High,0.15640062717415482,Very Low,593968804.8335558,218457.77453975042,878474121.6368123
24,BARPETA (SC),True,1,0.4971414190430578,Moderate,0.07557711778316922,Very Low,264895217.6730001,209868.29201918578,532836749.3155047
25,PAKABETBARI,True,1,0.618922645160189,High,0.12078677594655028,Very Low,307755353.16149545,178936.13209909736,497243646.79182565
26,BAJALI,False,3,0.6788819485588949,High,0.11958579577988232,Very Low,358502015.957015,194093.47435659514,528077107.8359493
27,CHAMARIA,True,1,0.6885806914985254,High,0.14173330674775916,Very Low,418450732.8400598,192615.45838779458,607700358.1517881
28,BOKO-CHAYGAON (ST),True,1,0.6261954641393176,High,0.14273728415318176,Very Low,1025776926.1874983,300512.59608057904,1638109799.465556
29,PALASBARI,False,2,0.5897143513690487,Moderate,0.10921602636296457,Very Low,647554991.9284662,272960.6691381632,1098082470.648947
30,HAJO-SUALKUCHI (SC),True,1,0.836844023585962,Very High,0.2881113486288758,Low,349257713.5305421,123423.47009131807,417351028.0134847
31,RANGIA,False,2,0.6550445178636993,High,0.15432565179391625,Very Low,324655339.7473463,162591.2414992736,495623321.61201304
32,KAMALPUR,False,2,0.6890795217886807,High,0.18574777162896056,Very Low,360952457.02334595,156267.30669825093,523818290.3569711
33,DISPUR,True,1,0.6511347190287554,High,0.22564683135367916,Low,61583240.76641477,58562.76617092337,94578339.88375473
34,DIMORIA (SC),True,1,0.8314304422212919,Very High,0.3980308543009021,Low,617700501.8277926,139648.2635074048,742937076.2243352
35,NEW GUWAHATI,True,1,0.7413733457820144,High,0.32914507709738594,Low,26084905.980217684,31557.739575608288,35184574.855065554
36,GUWAHATI CENTRAL,True,1,0.7284794502688526,High,0.29484762426193967,Low,27896848.282249346,34481.304352128944,38294626.25466475
37,JALUKBARI,True,1,0.7002964326009381,High,0.2684357488078488,Low,233196487.24883577,104483.02983305944,332996823.04925025
38,BARKHETRI,True,1,0.5800757628554767,Moderate,0.13430402193013447,Very Low,499471720.6759789,216180.18037628615,861045664.4788659
39,NALBARI,True,1,0.6522193519930232,High,0.17066043817868043,Very Low,264378182.79030702,139524.76843020172,405351638.191096
40,TIHU,True,1,0.6293406977383841,High,0.15375598557611264,Very Low,277454873.43720114,150586.17257543287,440865932.2911589
41,MANAS,True,1,0.6614506055469973,High,0.10941137082690179,Very Low,768076022.232875,297013.2377634724,1161199363.6285238
42,BAKSA (ST),False,2,0.6252962936570375,High,0.17366911368472152,Very Low,594202345.6599202,207353.23674627463,950273257.1541969
43,TAMULPUR (ST),True,1,0.7993806149454691,High,0.26325192041954126,Low,559846881.8750167,163475.91988841209,700350835.8946226
44,GORESWAR,True,1,0.7181929041181024,High,0.17957196182042692,Very Low,540786080.3050318,194535.30067946287,752981653.2635956
45,BHERGAON,False,2,0.7930087844775904,High,0.22855954480222287,Low,475469409.5132623,161683.81246262635,599576472.3167434
46,UDALGURI (ST),True,1,0.7432159029899774,High,0.259062945058716,Low,608429825.9747052,171793.81757683077,818644788.8520359
47,MAZBAT,True,1,0.6361294041251121,High,0.14723369290048416,Very Low,560114484.5552726,218645.09110943985,880503999.5370358
48,TANGLA,False,2,0.5860033477785374,Moderate,0.10629705830487692,Very Low,384312628.89574564,213150.63808575075,655819852.1435499
49,SIPAJHAR,True,1,0.7404347588193895,High,0.20047685570724938,Low,637283120.3553672,199866.04502381248,860687741.5796959
50,MANGALDAI,False,2,0.5257639120562184,Moderate,0.0901393255613711,Very Low,267246666.17844307,193020.7185344231,508301654.1269709
51,DALGAON,False,2,0.6461103328614983,High,0.11153475558019671,Very Low,656916166.0680118,272053.8002587066,1016724439.553004
52,JAGIROAD (SC),False,2,0.7309487383715114,High,0.1707802497602488,Very Low,687200121.789703,224868.0344203467,940148174.1670743
53,LAHARIGHAT,True,1,0.4985612674376529,Moderate,0.048315059697478326,Very Low,439197507.4262408,337982.02612229966,880929859.8013618
54,MORIGAON,True,1,0.49749895114114306,Moderate,0.05018329453581354,Very Low,396889786.83758813,315253.78463742987,797770097.6599414
55,DHING,False,2,0.8393460653052609,Very High,0.3820237185337888,Low,215774116.81843323,84247.96940717188,257074079.14035857
56,RUPAHIHAT,True,1,0.7045679222760263,High,0.19212436435928998,Very Low,237046591.28166676,124517.55015079817,336442497.2909848
57,KALIABOR,True,1,0.6038136393672437,High,0.08349466734638059,Very Low,738930348.68767,333485.77574183303,1223772204.7186935
58,SAMAGURI,True,1,0.6234616156553504,High,0.12195079447860832,Very Low,158073228.29234767,127626.76949549005,253541235.45551288
59,BARHAMPUR,False,2,0.6363391617433117,High,0.13494881464653183,Very Low,597775158.5325646,235933.34582149563,939397092.7310252
60,NAGAON-BATADRABA,False,2,0.5132767167285733,Moderate,0.09401083632372863,Very Low,125298322.8462114,129416.18784342203,244114565.81318223
61,RAHA (SC),True,1,0.7489084651375015,High,0.25557983564221154,Low,556630307.0512344,165434.11144532126,743255461.7326106
62,BINNAKANDI,False,2,0.7349844590115289,High,0.20407984345999863,Low,330655846.9486596,142689.81638986315,449881412.9938943
63,HOJAI,True,1,0.5243599237356878,Moderate,0.11657262027043479,Very Low,443477025.0672143,218646.34181877875,845749274.4826093
64,LUMDING,False,6,0.8140132575003282,Very High,0.2845422029086867,Low,652690661.6689185,169779.51429783768,801818220.5940981
65,DHEKIAJULI,True,1,0.6157569516545394,High,0.1509997039512765,Very Low,956281071.3562592,282104.2726123976,1553017093.4923778
66,BARCHALLA,False,2,0.6858545331866035,High,0.19255846830203557,Very Low,985877701.9276971,253650.16122376127,1437444318.326704
67,TEZPUR,True,1,0.726853928082904,High,0.23335129776169464,Low,214121408.57430264,107381.59922661059,294586574.14021736
68,RANGAPARA,True,1,0.7820618977140059,High,0.32214750935682634,Low,415410019.2715821,127296.37208517581,531172814.4355837
69,NADUAR,True,1,0.5583215520014395,Moderate,0.14773978582807054,Very Low,870338528.5614512,272082.3087937516,1558848168.1237469
70,BISWANATH,True,1,0.754883951244736,High,0.31337501404042123,Low,534172657.2626608,146357.0259419752,707622219.7886946
71,BEHALI (SC),True,1,0.7189874618858212,High,0.27242175456797874,Low,670911522.3372546,175920.5865760519,933133827.643574
72,GOHPUR,True,1,0.7652754413428492,High,0.3206715258490286,Low,570714233.8910174,149549.19683507414,745763163.2469088
73,BIHPURIA,True,1,0.7704083485931713,High,0.25067051462293155,Low,482940572.5990649,155596.61763470736,626863109.000511
74,RONGONADI,True,1,0.8174582133312639,Very High,0.283857387850028,Low,441367215.0778179,139783.16391966763,539926332.4778166
75,NOWBOICHA (SC),True,1,0.7413258121318456,High,0.21987501503042003,Low,570898842.1084449,180632.78253876916,770105172.0655721
76,LAKHIMPUR,True,1,0.7432122992575925,High,0.23986179249908143,Low,537474642.7374339,167804.41551294664,723177809.724525
77,DHAKUAKHANA (ST),True,1,0.6527358128736113,High,0.17889987678520788,Very Low,772616076.1004014,232960.2273648782,1183658167.458329
78,DHEMAJI (ST),True,1,0.6163169345369367,High,0.1410948567776194,Very Low,732836729.3655094,255477.67454573224,1189058239.8423283
79,SISSIBARGAON,False,2,0.5259698749690943,Moderate,0.07146424565185323,Very Low,637929854.0997152,334924.5546436189,1212863862.4734917
80,JONAI (ST),True,1,0.5984625694625093,Moderate,0.1560530072393301,Very Low,1188913913.2395644,309416.92488350614,1986613656.2347596
81,SADIYA,True,1,0.8581019158906067,Very High,0.3664345600926876,Low,1268297653.74628,208553.4184824505,1478026829.0508819
82,DOOMDOOMA,True,1,0.7255139431873887,High,0.17064789424126553,Very Low,415939496.40921503,175012.69240723216,573303242.914774
83,MARGHERITA,True,1,0.6569338443885979,High,0.16300787453841628,Very Low,634301439.9606091,221130.41874494834,965548426.7992729
84,DIGBOI,True,1,0.5331054126592293,Moderate,0.11398336276861824,Very Low,652095788.1910913,268126.59736054466,1223202339.9243233
85,MAKUM,True,1,0.6184454462303014,High,0.1576705887498922,Very Low,192371100.81282037,123822.48123756042,311055893.4266674
86,TINSUKIA,True,1,0.5224406919031299,Moderate,0.07806781570979758,Very Low,676650016.7698385,330028.1358785649,1295170968.2202582
87,CHABUA-LAHOWAL,False,2,0.7341696146185637,High,0.21336544109375993,Low,773117627.001886,213385.88119870724,1053050428.140584
88,DIBRUGRAH,True,1,0.7509637374422317,High,0.25003257164345954,Low,294604235.93699616,121681.94182325479,392301546.9966801
89,KHOWANG,True,1,0.6667072389252325,High,0.15603776043179626,Very Low,885863092.395388,267099.688711131,1328713775.21481
90,DULIAJAN,True,1,0.5576557746727753,Moderate,0.1416185720416354,Very Low,409155249.88674235,190541.19758035018,733705752.6694295
91,TINGKHONG,False,2,0.7299445455572449,High,0.16935013172369495,Very Low,524245120.3635265,197232.90028196323,718198558.4443461
92,NAHARKATIA,True,1,0.6864130673924239,High,0.2040231508394692,Low,490809549.0578091,173868.82079288113,715035264.2940176
