AC_NO,AC_NAME,is_contiguous,part_count,contiguity_part_min_pct,convex_hull_ratio,convex_hull_ratio_category,polsby_popper_score,polsby_popper_category,reock_score,reock_category,area_m2,perimeter_m,hull_area_m2,min_bounding_circle_area_m2
1,Ratabari,True,1,0.1,0.8914001092765492,Very High,0.36472945809676943,Low,0.2659199233655303,Low,514511933.07884824,133142.66243386376,577195277.0977565,1934837851.060924
2,Patharkandi,True,1,0.1,0.7750963135564299,High,0.38060457148255256,Low,0.2916717196960316,Low,584342458.064657,138899.81055073274,753896577.5536677,2003425147.5379062
3,Karimganj North,True,1,0.1,0.820787551691346,Very High,0.50360303470799,Moderate,0.5405193955315599,Moderate,168512251.68867615,64845.00135082222,205305564.56592622,311759861.12941813
4,Karimganj South,True,1,0.1,0.6791901812505994,High,0.32975210095060575,Low,0.3250569198967305,Low,347900086.1322726,115143.23169531909,512227790.88425696,1070274357.6195803
5,Badarpur,True,1,0.1,0.8618129781189385,Very High,0.5281897211673136,Moderate,0.5027794576933182,Moderate,256267169.04891217,78082.9917533237,297358215.24556434,509700953.6241398
6,Hailakandi,True,1,0.1,0.8699745772946645,Very High,0.6227548499491719,High,0.6345132657712099,High,221392402.72871488,66838.65925085192,254481462.4551129,348916901.6184819
7,Katlicherra,True,1,0.1,0.7979165008932685,High,0.293774813859347,Low,0.320320585948092,Low,818350076.3776032,187097.1688308652,1025608663.8908448,2554784526.1191454
8,Algapur,True,1,0.1,0.7455090905403517,High,0.32622360591821886,Low,0.5170908346943537,Moderate,428438301.15419286,128466.94139691138,574692256.0577456,828555202.3126414
9,Silchar,True,1,0.1,0.7859922707489062,High,0.49539882032464266,Moderate,0.4357809827443487,Moderate,70784668.66439745,42373.764611293496,90057715.9581387,162431752.34180272
10,Sonai,True,1,0.1,0.8329430759802897,Very High,0.5517175574689803,Moderate,0.5526384620055187,Moderate,260338987.22022045,77004.50528546316,312553156.0651102,471083728.54732776
11,Dholai,True,1,0.1,0.7492153557118001,High,0.26979793280655545,Low,0.49988053036937796,Moderate,900310174.474165,204777.24799196128,1201670744.7471037,1801050690.6698217
12,Udharbond,True,1,0.1,0.6897363164072153,High,0.33633540080855334,Low,0.4433904963751423,Moderate,639214192.4784282,154540.33379746447,926751538.628627,1441650639.1188054
13,Lakhipur,True,1,0.1,0.5921134189592168,Moderate,0.146352027893989,Very Low,0.3182326743537527,Low,613134268.606682,229447.5130002804,1035501390.3998568,1926685466.386496
14,Barkhola,True,1,0.1,0.7677699502245667,High,0.398987719040339,Low,0.518150387009256,Moderate,464838146.93175215,120997.40285793846,605439359.5318371,897110488.7420425
15,Katigora,True,1,0.1,0.7283535958190738,High,0.303847975251569,Low,0.5191592246411797,Moderate,690536358.8010008,168993.51292532147,948078464.5875945,1330105150.8393588
16,Haflong,True,1,0.1,0.7822178150365353,High,0.2380542117408888,Low,0.5650249930508344,Moderate,4886273750.522193,507873.899679508,6246691978.364067,8647889581.200495
17,Bokajan,True,1,0.1,0.7128867979880803,High,0.1838008142442891,Very Low,0.45227636424356704,Moderate,2446004192.4826026,408940.2094213536,3431125670.1425133,5408206985.508846
18,Howraghat,True,1,0.1,0.6843308551718764,High,0.11441628551259447,Very Low,0.3875680456086567,Low,1563760624.1034772,414425.1911297997,2285094428.0610046,4034802770.3049345
19,Diphu,True,1,0.1,0.787756781318657,High,0.30921413834496997,Low,0.4713774162558835,Moderate,3312208911.803469,366888.5185479766,4204608567.455342,7026660161.430947
20,Baithalangso,True,1,0.1,0.7511147995009019,High,0.20403247656965445,Low,0.41312655690710165,Moderate,3115119966.451808,438018.7179223449,4147328701.9796867,7540352742.688228
